nombre,codigo_maestro,proveedor,articulos,con_stock,pais_maestro
GENERICO,NVD,"IMPORTADORA DT 3147, C.A.",19,16,Venezuela
PEGA SOLD,Q33,QUIMICAS VICTORIA C A,18,15,Venezuela
RESINCA,RES,"RESINGLAS INDUSTRIAL C A  ""RESINCA""",18,11,Venezuela
RODANOL,RDL,INDUSTRIAS RODANOL SA,18,17,Venezuela
COMBOS,BAM,,18,14,Venezuela
CORONA,0D5,"INDUSTRIAS TECNI-303, C.A.",17,16,Venezuela
TRX,TRX,"IMPORTADORA DT 3147, C.A.",17,16,Venezuela
HAKUNA MATATA,NVD,REPRESENTANTES E INDUSTRIALES CONSORCIADOS C.A.,16,5,Venezuela
CHL,CHL,"COMERCIALIZADORA H.L., C.A.",16,15,Venezuela
TH,DBT,"DISBATTERY, S.A",16,3,Venezuela
BASIC LIVING,BAM,BAMERICA CORPORATION,16,12,China
GENEMAX,GMX,"DISTRIBUIDORA SUGONEG, C.A",15,7,China
PROPULSA,OPO,"MUNDIAL ELECTRICO, C.A",15,15,Panama
FORZZAMERICA,NVD,"CORPORACION FORZZAMERICA, C.A.",15,0,Venezuela
COVALCA,CVC,HIDROCA C.A,14,13,Venezuela
QUIMICOLOR,QUI,QUIMICOLOR C A,14,13,Venezuela
MOTUL,034,NINGBO TRADING INTERNATIONAL CORP. LTD,14,7,Mexico
LINCE,BAM,HARMONY INTERNATIONAL LIMITED,13,12,Venezuela
COVER TRUCK,RUN,INDUSTRIAS RUANSA DE VENEZUELA C.A.,12,10,Venezuela
SPLACA,SPC,"MULTI SPLACA, C.A.",12,12,Venezuela
VENA-ORIENTE,008,"FABRICA DE CABOS PARA HERRAMIENTAS DE LUCA, C.A.",12,10,Venezuela
OXINET,OXI,INDUSTRIAS OXI-NET CA,12,10,Venezuela
ABILPLAS,ABI,DISTRIBUIDORA ABILENE C.A.,12,10,Venezuela
ACERO FEBECA,ACR,NINGBO TRADING INTERNATIONAL CORP. LTD,12,11,China
AQUA NOVA,996,BAMERICA CORPORATION,11,11,China
PREMIER PLUS,002,SAINT GOBAIN ABRASIVOS C.A,11,8,Venezuela
ALADINO,ALD,FABRICA DE ESCALERAS ALADINO C.A.,10,9,Venezuela
